commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,mode_paiement,region_livraison,source,devise,annee,mois,trimestre,jour_semaine,tranche_montant,est_annulee,ca_perdu,saison,ville,region,segment,date_inscription,nom,categorie,fournisseur,delai_inscription_commande
CMD-Q1-00072,CLI0001,PRD0027,7,45.84,320.88,2024-03-20,en_cours,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Mercredi,100-500€,False,0.0,Printemps,Toulouse,Auvergne-RA,Startup,2021-02-01,Produit_Tél_27,Téléphonie,DataStore,1143.0
CMD-Q1-00073,CLI0048,PRD0133,1,55.03,55.03,2024-01-03,en_cours,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Mercredi,<100€,False,0.0,Hiver,Lille,Île-de-France,PME,2022-06-29,Produit_Rés_133,Réseau,DataStore,553.0
CMD-Q1-00074,CLI0206,PRD0050,2,27.92,55.84,2024-03-19,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,3,1,Mardi,<100€,False,0.0,Printemps,Lille,Île-de-France,Particulier,2022-04-14,Produit_Tél_50,Téléphonie,DataStore,705.0
CMD-Q1-00075,CLI0001,PRD0013,4,59.14,236.56,2024-02-03,livrée,CB,Île-de-France,Q1_2024,EUR,2024,2,1,Samedi,100-500€,False,0.0,Hiver,Toulouse,Auvergne-RA,Startup,2021-02-01,Produit_Inf_13,Informatique,ElecPlus,1097.0
CMD-Q1-00076,CLI0310,PRD0091,8,75.28,602.24,2024-01-02,livrée,Virement,Occitanie,Q1_2024,EUR,2024,1,1,Mardi,500-2000€,False,0.0,Hiver,Nice,PACA,Grand Compte,2020-08-20,,,,1230.0
CMD-Q1-00077,CLI0442,PRD0080,1,131.51,131.51,2024-01-02,annulée,Virement,Île-de-France,Q1_2024,EUR,2024,1,1,Mardi,100-500€,True,131.51,Hiver,Paris,Auvergne-RA,Grand Compte,2020-02-23,,,,1409.0
CMD-Q1-00078,CLI0265,PRD0066,5,181.07,905.35,2024-03-26,en_cours,Virement,Occitanie,Q1_2024,EUR,2024,3,1,Mardi,500-2000€,False,0.0,Printemps,Strasbourg,Occitanie,Grand Compte,2021-05-06,,,,1055.0
CMD-Q1-00079,CLI0082,PRD0125,4,31.95,127.8,2024-01-27,livrée,Virement,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Samedi,100-500€,False,0.0,Hiver,Toulouse,Nouvelle-Aquitaine,PME,2022-10-19,Produit_Rés_125,Réseau,TechPro,465.0
CMD-Q1-00080,CLI9997,PRD0056,8,46.62,372.96,2024-01-13,livrée,CB,Île-de-France,Q1_2024,EUR,2024,1,1,Samedi,100-500€,False,0.0,Hiver,,,,,Produit_Aud_56,Audio,TechPro,
CMD-Q1-00081,CLI0071,PRD0067,4,126.77,507.08,2024-01-18,retournée,Virement,Auvergne-RA,Q1_2024,EUR,2024,1,1,Jeudi,500-2000€,False,0.0,Hiver,Nantes,Nouvelle-Aquitaine,Particulier,2023-10-15,Produit_Aud_67,Audio,TechPro,95.0
CMD-Q1-00082,CLI0020,PRD0128,3,99.94,299.82,2024-03-28,livrée,PayPal,Île-de-France,Q1_2024,EUR,2024,3,1,Jeudi,100-500€,False,0.0,Printemps,Bordeaux,Île-de-France,Particulier,2020-02-03,,,,1515.0
CMD-Q1-00083,CLI0413,PRD0126,6,82.76,496.56,2024-02-10,livrée,Chèque,Auvergne-RA,Q1_2024,EUR,2024,2,1,Samedi,100-500€,False,0.0,Hiver,Marseille,Île-de-France,PME,2023-11-03,Produit_Rés_126,Réseau,MediaShop,99.0
CMD-Q1-00084,CLI0403,PRD0119,8,496.56,3972.48,2024-02-26,livrée,PayPal,Occitanie,Q1_2024,EUR,2024,2,1,Lundi,>2000€,False,0.0,Hiver,Bordeaux,Occitanie,Particulier,2022-04-03,Produit_Sto_119,Stockage,MediaShop,694.0
CMD-Q1-00085,CLI0336,PRD0026,6,334.76,2008.56,2024-03-05,en_cours,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Mardi,>2000€,False,0.0,Printemps,Paris,Occitanie,PME,2022-09-30,,,,522.0
CMD-Q1-00086,CLI0016,PRD0078,4,217.49,869.96,2024-03-11,livrée,Virement,Auvergne-RA,Q1_2024,EUR,2024,3,1,Lundi,500-2000€,False,0.0,Printemps,Paris,PACA,Particulier,2020-03-03,Produit_Acc_78,Accessoires,DataStore,1469.0
CMD-Q1-00087,CLI0198,PRD0058,5,118.62,593.1,2024-03-23,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,3,1,Samedi,500-2000€,False,0.0,Printemps,Paris,Nouvelle-Aquitaine,Grand Compte,2021-05-31,Produit_Aud_58,Audio,TechPro,1027.0
CMD-Q1-00088,CLI0317,PRD0069,9,106.11,954.99,2024-01-02,en_cours,CB,Occitanie,Q1_2024,EUR,2024,1,1,Mardi,500-2000€,False,0.0,Hiver,Paris,Nouvelle-Aquitaine,Grand Compte,2021-10-16,Produit_Aud_69,Audio,DataStore,808.0
CMD-Q1-00089,CLI0032,PRD0058,3,118.62,355.86,2024-01-31,en_cours,CB,Île-de-France,Q1_2024,EUR,2024,1,1,Mercredi,100-500€,False,0.0,Hiver,Nice,Occitanie,PME,2022-03-04,Produit_Aud_58,Audio,TechPro,698.0
CMD-Q1-00090,CLI0444,PRD0126,5,82.76,413.8,2024-03-21,livrée,PayPal,Auvergne-RA,Q1_2024,EUR,2024,3,1,Jeudi,100-500€,False,0.0,Printemps,Montpellier,Nouvelle-Aquitaine,Particulier,2021-01-11,Produit_Rés_126,Réseau,MediaShop,1165.0
CMD-Q1-00091,CLI0127,PRD0130,2,186.38,372.76,2024-02-05,livrée,CB,Île-de-France,Q1_2024,EUR,2024,2,1,Lundi,100-500€,False,0.0,Hiver,Toulouse,Occitanie,Particulier,2022-07-04,Produit_Rés_130,Réseau,DataStore,581.0
CMD-Q1-00092,CLI0429,PRD0041,5,48.15,240.75,2024-03-28,livrée,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Jeudi,100-500€,False,0.0,Printemps,Toulouse,Île-de-France,Particulier,2022-12-28,Produit_Tél_41,Téléphonie,TechPro,456.0
CMD-Q1-00093,CLI0306,PRD0117,1,69.72,69.72,2024-02-09,en_cours,CB,Auvergne-RA,Q1_2024,EUR,2024,2,1,Vendredi,<100€,False,0.0,Hiver,Nantes,Île-de-France,Grand Compte,2021-07-26,Produit_Sto_117,Stockage,ElecPlus,928.0
CMD-Q1-00094,CLI0073,PRD0017,2,222.33,444.66,2024-01-14,en_cours,CB,Auvergne-RA,Q1_2024,EUR,2024,1,1,Dimanche,100-500€,False,0.0,Hiver,Paris,Occitanie,PME,2023-03-13,Produit_Inf_17,Informatique,MediaShop,307.0
CMD-Q1-00095,CLI0346,PRD0019,5,62.97,314.85,2024-02-21,livrée,Virement,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Mercredi,100-500€,False,0.0,Hiver,Paris,Île-de-France,PME,2022-04-19,,,,673.0
CMD-Q1-00096,CLI0131,PRD0063,1,86.81,86.81,2024-02-18,en_cours,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Dimanche,<100€,False,0.0,Hiver,Paris,PACA,Particulier,2020-02-08,Produit_Aud_63,Audio,ElecPlus,1471.0
CMD-Q1-00097,CLI0025,PRD0049,1,65.78,65.78,2024-01-10,livrée,CB,Occitanie,Q1_2024,EUR,2024,1,1,Mercredi,<100€,False,0.0,Hiver,Lyon,Nouvelle-Aquitaine,Particulier,2022-09-10,Produit_Tél_49,Téléphonie,TechPro,487.0
CMD-Q1-00098,CLI0121,PRD0026,7,334.76,2343.32,2024-02-14,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Mercredi,>2000€,False,0.0,Hiver,Montpellier,Nouvelle-Aquitaine,Particulier,2022-03-26,,,,690.0
