commande_id,client_id,produit_id,quantite,prix_unitaire,montant_total,date_commande,statut,mode_paiement,region_livraison,source,devise,annee,mois,trimestre,jour_semaine,ville,region,segment,date_inscription,nom,categorie,fournisseur,tranche_montant,saison,est_annulee,ca_perdu,delai_inscription_commande
CMD-Q1-00061,CLI0016,PRD0025,7,111.14,777.98,2024-02-23,annulée,CB,PACA,Q1_2024,EUR,2024,2,1,Vendredi,Paris,PACA,Particulier,2020-03-03,Produit_Inf_25,Informatique,MediaShop,500-2000€,Hiver,True,777.98,1452.00
CMD-Q1-00062,CLI0070,PRD0122,5,108.11,540.55,2024-02-17,livrée,Virement,Auvergne-RA,Q1_2024,EUR,2024,2,1,Samedi,Toulouse,Île-de-France,PME,2023-01-12,Produit_Sto_122,Stockage,ElecPlus,500-2000€,Hiver,False,0.00,401.00
CMD-Q1-00063,CLI0109,PRD0009,8,58.82,470.56,2024-01-09,livrée,CB,PACA,Q1_2024,EUR,2024,1,1,Mardi,Lyon,Occitanie,Grand Compte,2021-12-05,Produit_Inf_9,Informatique,ElecPlus,100-500€,Hiver,False,0.00,765.00
CMD-Q1-00064,CLI0330,PRD0109,4,18.30,73.20,2024-03-01,inconnu,Chèque,Île-de-France,Q1_2024,EUR,2024,3,1,Vendredi,Montpellier,PACA,Particulier,2021-07-10,,,,<100€,Hiver,False,0.00,965.00
CMD-Q1-00065,CLI0073,PRD0074,5,101.69,508.45,2024-02-21,livrée,Virement,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Mercredi,Paris,Occitanie,PME,2023-03-13,,,,500-2000€,Hiver,False,0.00,345.00
CMD-Q1-00066,CLI0287,PRD0089,7,93.09,651.63,2024-02-19,livrée,CB,Occitanie,Q1_2024,EUR,2024,2,1,Lundi,Marseille,Nouvelle-Aquitaine,Startup,2020-11-02,,,,500-2000€,Hiver,False,0.00,1204.00
CMD-Q1-00067,CLI0374,PRD0075,2,71.64,143.28,2024-03-24,en_cours,CB,PACA,Q1_2024,EUR,2024,3,1,Dimanche,Toulouse,Auvergne-RA,Grand Compte,2022-05-17,,,,100-500€,Hiver,False,0.00,677.00
CMD-Q1-00068,CLI0183,PRD0035,7,17.54,122.78,2024-01-14,livrée,PayPal,PACA,Q1_2024,EUR,2024,1,1,Dimanche,Bordeaux,PACA,PME,2020-11-19,Produit_Tél_35,Téléphonie,MediaShop,100-500€,Hiver,False,0.00,1151.00
CMD-Q1-00069,CLI0273,PRD0042,3,126.36,379.08,2024-03-03,annulée,Chèque,Auvergne-RA,Q1_2024,EUR,2024,3,1,Dimanche,Nantes,Occitanie,Particulier,2021-09-19,,,,100-500€,Hiver,True,379.08,896.00
CMD-Q1-00070,CLI0331,PRD0152,1,499.98,499.98,2024-01-26,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Vendredi,Nantes,PACA,PME,2023-06-11,Produit_Rés_152,Réseau,ElecPlus,100-500€,Hiver,False,0.00,229.00
CMD-Q1-00071,CLI0112,PRD0020,8,304.72,2437.76,2024-03-26,annulée,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Mardi,Lyon,Île-de-France,PME,2022-01-22,Produit_Inf_20,Informatique,TechPro,>2000€,Hiver,True,2437.76,794.00
CMD-Q1-00072,CLI0001,PRD0027,7,45.84,320.88,2024-03-20,en_cours,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Mercredi,Toulouse,Auvergne-RA,Startup,2021-02-01,Produit_Tél_27,Téléphonie,DataStore,100-500€,Hiver,False,0.00,1143.00
CMD-Q1-00073,CLI0048,PRD0133,1,55.03,55.03,2024-01-03,en_cours,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Mercredi,Lille,Île-de-France,PME,2022-06-29,Produit_Rés_133,Réseau,DataStore,<100€,Hiver,False,0.00,553.00
CMD-Q1-00074,CLI0206,PRD0050,2,27.92,55.84,2024-03-19,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,3,1,Mardi,Lille,Île-de-France,Particulier,2022-04-14,Produit_Tél_50,Téléphonie,DataStore,<100€,Hiver,False,0.00,705.00
CMD-Q1-00075,CLI0001,PRD0013,4,59.14,236.56,2024-02-03,livrée,CB,Île-de-France,Q1_2024,EUR,2024,2,1,Samedi,Toulouse,Auvergne-RA,Startup,2021-02-01,Produit_Inf_13,Informatique,ElecPlus,100-500€,Hiver,False,0.00,1097.00
CMD-Q1-00076,CLI0310,PRD0091,8,75.28,602.24,2024-01-02,livrée,Virement,Occitanie,Q1_2024,EUR,2024,1,1,Mardi,Nice,PACA,Grand Compte,2020-08-20,,,,500-2000€,Hiver,False,0.00,1230.00
CMD-Q1-00077,CLI0442,PRD0080,1,131.51,131.51,2024-01-02,annulée,Virement,Île-de-France,Q1_2024,EUR,2024,1,1,Mardi,Paris,Auvergne-RA,Grand Compte,2020-02-23,,,,100-500€,Hiver,True,131.51,1409.00
CMD-Q1-00078,CLI0265,PRD0066,5,181.07,905.35,2024-03-26,en_cours,Virement,Occitanie,Q1_2024,EUR,2024,3,1,Mardi,Strasbourg,Occitanie,Grand Compte,2021-05-06,,,,500-2000€,Hiver,False,0.00,1055.00
CMD-Q1-00079,CLI0082,PRD0125,4,31.95,127.80,2024-01-27,livrée,Virement,Nouvelle-Aquitaine,Q1_2024,EUR,2024,1,1,Samedi,Toulouse,Nouvelle-Aquitaine,PME,2022-10-19,Produit_Rés_125,Réseau,TechPro,100-500€,Hiver,False,0.00,465.00
CMD-Q1-00080,CLI9997,PRD0056,8,46.62,372.96,2024-01-13,livrée,CB,Île-de-France,Q1_2024,EUR,2024,1,1,Samedi,,,,,Produit_Aud_56,Audio,TechPro,100-500€,Hiver,False,0.00,
CMD-Q1-00081,CLI0071,PRD0067,4,126.77,507.08,2024-01-18,retournée,Virement,Auvergne-RA,Q1_2024,EUR,2024,1,1,Jeudi,Nantes,Nouvelle-Aquitaine,Particulier,2023-10-15,Produit_Aud_67,Audio,TechPro,500-2000€,Hiver,False,0.00,95.00
CMD-Q1-00082,CLI0020,PRD0128,3,99.94,299.82,2024-03-28,livrée,PayPal,Île-de-France,Q1_2024,EUR,2024,3,1,Jeudi,Bordeaux,Île-de-France,Particulier,2020-02-03,,,,100-500€,Hiver,False,0.00,1515.00
CMD-Q1-00083,CLI0413,PRD0126,6,82.76,496.56,2024-02-10,livrée,Chèque,Auvergne-RA,Q1_2024,EUR,2024,2,1,Samedi,Marseille,Île-de-France,PME,2023-11-03,Produit_Rés_126,Réseau,MediaShop,100-500€,Hiver,False,0.00,99.00
CMD-Q1-00084,CLI0403,PRD0119,8,496.56,3972.48,2024-02-26,livrée,PayPal,Occitanie,Q1_2024,EUR,2024,2,1,Lundi,Bordeaux,Occitanie,Particulier,2022-04-03,Produit_Sto_119,Stockage,MediaShop,>2000€,Hiver,False,0.00,694.00
CMD-Q1-00085,CLI0336,PRD0026,6,334.76,2008.56,2024-03-05,en_cours,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Mardi,Paris,Occitanie,PME,2022-09-30,,,,>2000€,Hiver,False,0.00,522.00
CMD-Q1-00086,CLI0016,PRD0078,4,217.49,869.96,2024-03-11,livrée,Virement,Auvergne-RA,Q1_2024,EUR,2024,3,1,Lundi,Paris,PACA,Particulier,2020-03-03,Produit_Acc_78,Accessoires,DataStore,500-2000€,Hiver,False,0.00,1469.00
CMD-Q1-00087,CLI0198,PRD0058,5,118.62,593.10,2024-03-23,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,3,1,Samedi,Paris,Nouvelle-Aquitaine,Grand Compte,2021-05-31,Produit_Aud_58,Audio,TechPro,500-2000€,Hiver,False,0.00,1027.00
CMD-Q1-00088,CLI0317,PRD0069,9,106.11,954.99,2024-01-02,en_cours,CB,Occitanie,Q1_2024,EUR,2024,1,1,Mardi,Paris,Nouvelle-Aquitaine,Grand Compte,2021-10-16,Produit_Aud_69,Audio,DataStore,500-2000€,Hiver,False,0.00,808.00
CMD-Q1-00089,CLI0032,PRD0058,3,118.62,355.86,2024-01-31,en_cours,CB,Île-de-France,Q1_2024,EUR,2024,1,1,Mercredi,Nice,Occitanie,PME,2022-03-04,Produit_Aud_58,Audio,TechPro,100-500€,Hiver,False,0.00,698.00
CMD-Q1-00090,CLI0444,PRD0126,5,82.76,413.80,2024-03-21,livrée,PayPal,Auvergne-RA,Q1_2024,EUR,2024,3,1,Jeudi,Montpellier,Nouvelle-Aquitaine,Particulier,2021-01-11,Produit_Rés_126,Réseau,MediaShop,100-500€,Hiver,False,0.00,1165.00
CMD-Q1-00091,CLI0127,PRD0130,2,186.38,372.76,2024-02-05,livrée,CB,Île-de-France,Q1_2024,EUR,2024,2,1,Lundi,Toulouse,Occitanie,Particulier,2022-07-04,Produit_Rés_130,Réseau,DataStore,100-500€,Hiver,False,0.00,581.00
CMD-Q1-00092,CLI0429,PRD0041,5,48.15,240.75,2024-03-28,livrée,CB,Île-de-France,Q1_2024,EUR,2024,3,1,Jeudi,Toulouse,Île-de-France,Particulier,2022-12-28,Produit_Tél_41,Téléphonie,TechPro,100-500€,Hiver,False,0.00,456.00
CMD-Q1-00093,CLI0306,PRD0117,1,69.72,69.72,2024-02-09,en_cours,CB,Auvergne-RA,Q1_2024,EUR,2024,2,1,Vendredi,Nantes,Île-de-France,Grand Compte,2021-07-26,Produit_Sto_117,Stockage,ElecPlus,<100€,Hiver,False,0.00,928.00
CMD-Q1-00094,CLI0073,PRD0017,2,222.33,444.66,2024-01-14,en_cours,CB,Auvergne-RA,Q1_2024,EUR,2024,1,1,Dimanche,Paris,Occitanie,PME,2023-03-13,Produit_Inf_17,Informatique,MediaShop,100-500€,Hiver,False,0.00,307.00
CMD-Q1-00095,CLI0346,PRD0019,5,62.97,314.85,2024-02-21,livrée,Virement,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Mercredi,Paris,Île-de-France,PME,2022-04-19,,,,100-500€,Hiver,False,0.00,673.00
CMD-Q1-00097,CLI0025,PRD0049,1,65.78,65.78,2024-01-10,livrée,CB,Occitanie,Q1_2024,EUR,2024,1,1,Mercredi,Lyon,Nouvelle-Aquitaine,Particulier,2022-09-10,Produit_Tél_49,Téléphonie,TechPro,<100€,Hiver,False,0.00,487.00
CMD-Q1-00098,CLI0121,PRD0026,7,334.76,2343.32,2024-02-14,livrée,CB,Nouvelle-Aquitaine,Q1_2024,EUR,2024,2,1,Mercredi,Montpellier,Nouvelle-Aquitaine,Particulier,2022-03-26,,,,>2000€,Hiver,False,0.00,690.00
CMD-Q1-00099,CLI0098,PRD0126,8,82.76,662.08,2024-01-26,livrée,CB,Auvergne-RA,Q1_2024,EUR,2024,1,1,Vendredi,Paris,Occitanie,Particulier,2021-12-10,Produit_Rés_126,Réseau,MediaShop,500-2000€,Hiver,False,0.00,777.00
